Nombre,direccion_completa,Departamento,Localidad,Longitud,Latitud,Ambito
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
CANELONES Nº 2,"HERMENEGILDO LOPEZ ENTRE TOMAS BERRETA Y TALENTINO GONZALEZ, ",CANELONES,CANELONES,-56.2857496,-34.52313321,Urbano
